Typ;Nummer;Datum;"";"";Bis;"";"";Heimteam;Resultat;Gastteam;Spielfeld;Spielstatus;Bemerkungen
Trainingsspiele;703935;Mo;03.08.2026;20:00;"";"";"";FC Phönix Seen 2 - 3. Liga / -;"";FC Wiesendangen 2 - 3. Liga / -;Steinacker, Winterthur, Platz 1;noch nicht ausgetragen;""
Trainingsspiele;701897;So;09.08.2026;15:00;"";"";"";FC Wiesendangen 2 - 3. Liga / -;"";SC Veltheim 2 - 3. Liga / -;Rietsamen, Wiesendangen, Platzzuteilung erfolgt vor Ort;neu angesetzt;""
Trainingsspiele;703976;Do;13.08.2026;20:30;"";"";"";FC Wiesendangen 2 - 3. Liga / -;"";FC Schaffhausen 3 - 4. Liga / -;Rietsamen, Wiesendangen, Platzzuteilung erfolgt vor Ort;noch nicht ausgetragen;Freundschaftsspiel
Trainingsspiele;701453;So;16.08.2026;11:00;"";"";"";FC Bassersdorf 2 - 3. Liga / -;"";FC Wiesendangen 2 - 3. Liga / -;bxa Sport und Freizeit Anlage, Bassersdorf, Platzzuteilung erfolgt vor Ort;noch nicht ausgetragen;""
Meisterschaft;167005;Sa;22.08.2026;18:00;"";"";"";FC Ellikon Marthalen 1 - 3. Liga / -;"";FC Wiesendangen 2 - 3. Liga / -;Raiffeisen Weinland Arena, Marthalen, Platz 1;noch nicht ausgetragen;
Meisterschaft;167010;So;30.08.2026;00:00;"";"";"";FC Wiesendangen 2 - 3. Liga / -;"";FC Neftenbach 1 - 3. Liga / -;Rietsamen, Wiesendangen, Platzzuteilung erfolgt vor Ort;neu angesetzt;
Meisterschaft;167018;Sa;05.09.2026;18:30;"";"";"";SV Schaffhausen 2 - 3. Liga / -;"";FC Wiesendangen 2 - 3. Liga / -;Bühl, Schaffhausen, Bühl 1 (Kunstrasen);noch nicht ausgetragen;
Meisterschaft;167021;Sa;12.09.2026;19:00;"";"";"";FC Wiesendangen 2 - 3. Liga / -;"";FC Beringen 1 - 3. Liga / -;Rietsamen, Wiesendangen, Platzzuteilung erfolgt vor Ort;noch nicht ausgetragen;
Meisterschaft;167031;Sa;26.09.2026;18:00;"";"";"";FC Phönix Seen 1 - 3. Liga / -;"";FC Wiesendangen 2 - 3. Liga / -;Steinacker, Winterthur, Platz 1;noch nicht ausgetragen;
Meisterschaft;167032;Sa;03.10.2026;18:30;"";"";"";NK Dinamo Schaffhausen 1 - 3. Liga / -;"";FC Wiesendangen 2 - 3. Liga / -;Dreispitz, Schaffhausen, Platz 1;noch nicht ausgetragen;
